 ,Angle,Length,Folder,Image,site,species,sex,stage,Comment,Roi
159,-5.04,0.75,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Wilcox Pond,Skistodiaptomus pygmaeus,male,adult,,27807-11372
160,-98.26,0.68,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Wilcox Pond,Skistodiaptomus pygmaeus,male,adult,,26843-13145
161,-60.1,0.5,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Wilcox Pond,Skistodiaptomus pygmaeus,unclear,copepodite,,27077-12037
162,92.39,0.52,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Wilcox Pond,Skistodiaptomus pygmaeus,unclear,copepodite,,26757-12280
163,-128.09,0.51,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Wilcox Pond,Skistodiaptomus pygmaeus,unclear,copepodite,,25057-11611
164,171.07,0.77,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Wilcox Pond,Skistodiaptomus pygmaeus,male,adult,,20817-13663
165,-40.52,0.79,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Wilcox Pond,Skistodiaptomus pygmaeus,unclear,copepodite,,24977-13698
166,-15.09,1.01,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Wilcox Pond,Skistodiaptomus pygmaeus,female,adult,,31558-13472
167,64.89,0.77,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Wilcox Pond,Skistodiaptomus pygmaeus,male,adult,,26640-16708
168,-108.67,0.85,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,27342-21494
169,-86.14,0.97,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,30155-21653
170,-67.58,0.95,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,30156-21732
171,-79.51,0.9,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,32697-24185
172,-41.11,0.8,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,male,adult,,30515-23313
173,-122.94,0.92,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,26792-25104
174,-18.23,0.94,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,26952-25156
175,-12.14,0.88,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,29629-25579
176,-28.74,0.77,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,male,adult,,31179-25100
177,-32.69,0.87,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,31880-26069
178,-153.43,0.93,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,33356-27414
179,-154.04,0.92,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,30097-26296
180,91.45,0.86,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,30111-26432
181,65.96,0.78,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,male,adult,,28929-26903
182,79.76,0.92,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,26567-27961
183,-106.76,0.95,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,24337-26187
184,2.66,0.94,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,24288-26364
185,-61.09,0.84,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,23768-29236
186,-32.01,0.93,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,25176-29435
187,-84.37,0.78,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,male,adult,,26705-29954
188,-131.11,0.8,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,male,adult,,26857-28383
189,-150.52,0.87,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,28296-30384
190,33.69,0.71,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,male,adult,,28543-29301
191,11.58,0.93,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,32126-29860
192,-49.33,0.92,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,32401-29342
193,-26.28,0.99,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,32407-30596
194,89.36,0.97,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,32884-30646
195,-123.11,0.9,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,33226-30316
196,-174.86,0.98,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,33479-29664
197,-19.29,0.93,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,33461-29049
198,110.47,0.87,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,34383-28757
199,65.77,0.96,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,34200-29065
200,-46.94,0.91,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,33987-28506
201,-171.2,0.93,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,34847-31689
202,-113.11,0.89,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,33891-32071
203,-123.31,0.92,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,34006-32105
204,-68.86,0.88,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,30947-31636
205,-110.77,1.02,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,30131-31386
206,-50.62,0.95,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,29459-32374
207,-52.13,0.87,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,25610-31730
208,8.34,0.83,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,25800-32178
209,142.97,0.78,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,male,adult,,24585-31104
210,-21.18,0.94,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,24383-30589
211,-41.19,0.93,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,27612-33916
212,51.8,0.85,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,28523-32942
213,48.07,0.87,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,29342-33993
214,13.71,0.92,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,32450-33564
215,-150.33,0.99,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,31765-33385
216,-179.35,0.96,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,30964-34288
217,-111.67,0.92,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,30607-34933
218,4.13,0.91,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,30221-34495
219,-90,0.88,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,28623-34842
220,-117.76,0.94,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,27325-35516
221,102.89,0.93,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,27468-35629
222,82.63,0.94,/Users/matthew_sasaki/Desktop/Project_Folders/diapt_ctmax_survey/Raw_data/scanner_images,img2.jpg,Pinchot Lake,Skistodiaptomus pallidus,female,adult,,26498-35351
