 ,Angle,Length,Folder,Image,species,sex,stage,Comment,Roi
48,133.03,0.91,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,11052-12052
49,-145.68,1.12,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,07901-11568
50,-39.24,1.14,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,09886-13920
51,84.12,1.01,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,10115-13109
52,-36.42,1.11,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,12267-13727
53,-69.65,0.97,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,12579-13523
54,113.09,0.98,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,13005-13401
55,66.04,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,unclear,Grand Lake,13867-13371
56,-100.52,1.05,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,15341-13682
57,72.28,1.11,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,15218-14150
58,-66.91,0.98,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,18046-14607
59,-54.03,1.13,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,14783-15325
60,-54.71,1.17,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,14776-15677
61,-57.76,1.13,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,15166-15997
62,54.82,1.1,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,12988-15160
63,-34.55,1.09,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,13322-15844
64,-40.43,1.04,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,12791-16097
65,166.35,1.06,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,12003-15188
66,33.23,1.02,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,14244-17922
67,21.8,1.03,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,14094-17987
68,-60.87,1.03,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Grand Lake,17949-16878
69,-60.26,0.83,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,10373-21225
70,-24.44,0.89,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,10409-21347
71,-71.88,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,11638-20916
72,43.64,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,11515-21290
73,73.11,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12232-21029
74,99.95,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12258-21123
75,-100.92,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12608-21050
76,61.46,0.95,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,13054-21014
77,85.76,0.8,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,13703-21156
78,90,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,13912-21201
79,142.22,0.74,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,15431-21393
80,-165,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,15480-22185
81,-175.84,0.81,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,unclear,Birch Run,15367-22166
82,150.95,0.76,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,unclear,Birch Run,16309-21821
83,-25.68,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,16354-21750
84,-151.14,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,18371-22711
85,-166.7,0.83,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,18512-22936
86,-101.31,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,17519-23329
87,149.74,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,19299-23918
88,-34.99,0.72,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,19572-24200
89,-79.26,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,14827-23563
90,-115.71,0.88,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,13920-23069
