 ,Angle,Length,Folder,Image,species,sex,stage,Comment,Roi
210,4.4,0.77,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,male,adult,Owen Park,24916-19760
211,-160.28,0.83,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,27501-20851
212,39.37,0.74,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,33302-19171
213,42.93,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,34460-20458
214,156.14,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,35653-22533
215,-107.78,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,34395-21665
216,120.96,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,33635-21510
217,-159.1,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,30971-21677
218,-168.31,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,29172-21921
219,162.18,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,27545-22668
220,-75.47,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,27872-23013
221,68.55,0.88,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,26187-22023
222,180,0.79,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,25453-23214
223,-45.66,0.9,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,23499-22121
224,-59.74,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,24141-23382
225,58.2,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,22665-21533
226,-73.3,0.92,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,22245-23370
227,-55.18,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,21709-22935
228,-39.14,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,21972-23084
229,-4.16,0.81,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,21904-23395
230,-24.18,0.79,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,23314-23922
231,-77.69,0.83,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,23548-24772
232,178.06,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,25125-24861
233,-77.91,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,25293-24265
234,-43.53,0.81,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,27837-24814
235,-88.98,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,30920-24837
236,-174.81,0.81,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,31129-23763
237,8.82,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,36879-25469
238,-129.43,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,28991-26425
239,-145.18,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,27064-25658
240,-97.85,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,26581-26612
241,-157.22,0.8,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,25881-26324
242,-124.9,0.77,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,24203-26810
243,24.36,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,24036-27154
244,-69.33,0.83,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,24413-25547
245,-100.12,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,23566-26234
246,145.38,0.75,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,23001-25784
247,-45,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,28100-29102
